time_min,desks_used,desks_queue,tables_used,tables_queue,couches_used,couches_queue,cumulative_balks,total_arrivals
513,56,2,34,3,7,4,395,1100
514,56,3,34,2,7,5,396,1104
515,56,5,34,1,7,4,397,1106
516,56,3,34,0,7,5,398,1108
517,56,4,34,1,7,4,398,1109
518,56,4,34,4,7,2,398,1110
519,56,2,34,6,7,4,398,1112
520,56,2,34,6,7,5,399,1115
521,56,1,34,4,7,4,401,1116
522,56,5,34,1,7,4,402,1121
523,56,5,34,0,7,4,402,1121
524,56,4,34,2,7,2,402,1122
525,56,5,34,3,7,3,402,1125
526,56,0,34,7,7,4,402,1126
527,56,1,34,5,7,4,404,1127
528,56,1,34,5,7,3,405,1129
529,55,0,34,3,7,2,409,1130
530,56,1,34,4,7,1,409,1133
531,56,0,34,2,7,2,410,1135
532,55,0,34,1,7,3,411,1136
533,55,0,34,0,7,5,412,1139
534,55,0,34,0,7,7,412,1141
535,55,0,34,0,7,6,412,1141
536,55,0,34,0,7,5,412,1142
537,54,0,34,2,7,3,412,1143
538,55,0,34,4,7,3,412,1146
539,55,0,34,4,7,6,412,1149
540,56,0,34,2,7,5,414,1150
541,56,0,34,1,7,5,415,1151
542,55,0,34,2,7,3,415,1151
543,56,0,34,5,7,0,415,1152
544,55,0,34,3,7,0,415,1152
545,55,0,34,3,6,0,415,1152
546,56,0,34,0,7,1,418,1155
547,55,0,34,0,7,1,418,1155
548,55,0,32,0,7,2,418,1156
549,54,0,32,0,7,0,418,1156
550,54,0,32,0,7,1,418,1157
551,56,0,32,0,7,1,418,1159
552,56,0,32,0,7,1,418,1159
553,56,0,32,0,7,2,418,1160
554,56,0,32,0,7,1,418,1160
555,56,1,32,0,7,1,418,1161
556,56,1,31,0,7,2,418,1163
557,56,1,30,0,7,2,418,1163
558,56,1,30,0,7,2,418,1163
559,56,0,30,0,7,2,418,1163
560,55,0,31,0,7,0,418,1163
561,56,0,31,0,7,0,418,1164
562,56,0,31,0,7,2,418,1166
563,54,0,31,0,7,3,418,1167
564,54,0,31,0,7,4,418,1168
565,53,0,29,0,7,3,418,1168
566,52,0,30,0,7,2,418,1168
567,53,0,31,0,7,1,418,1169
568,53,0,31,0,7,0,418,1169
569,53,0,31,0,5,0,418,1169
570,52,0,30,0,5,0,418,1169
571,51,0,29,0,7,0,418,1172
572,51,0,29,0,7,0,418,1172
573,52,0,29,0,7,0,418,1173
574,52,0,29,0,7,0,418,1173
575,52,0,29,0,7,0,418,1174
576,52,0,27,0,7,1,418,1175
577,52,0,27,0,7,1,418,1175
578,52,0,27,0,7,1,418,1175
579,52,0,26,0,7,3,418,1178
580,52,0,26,0,7,2,418,1178
581,52,0,26,0,7,2,418,1179
582,52,0,26,0,7,3,418,1180
583,51,0,27,0,7,3,418,1181
584,51,0,26,0,7,3,418,1181
585,51,0,27,0,7,3,418,1182
586,51,0,27,0,7,2,418,1182
587,51,0,27,0,7,0,418,1182
588,51,0,27,0,7,0,418,1183
589,52,0,27,0,7,2,418,1186
590,52,0,27,0,7,3,418,1187
591,52,0,26,0,7,3,418,1187
592,53,0,25,0,7,3,418,1188
593,51,0,27,0,7,2,418,1189
594,49,0,27,0,7,2,418,1190
595,50,0,26,0,7,2,418,1192
596,49,0,25,0,7,2,418,1192
597,49,0,25,0,7,3,418,1193
598,48,0,26,0,7,2,418,1194
599,47,0,25,0,7,3,418,1195
600,46,0,25,0,7,3,418,1195
601,47,0,24,0,7,1,418,1196
602,47,0,24,0,7,1,418,1196
603,46,0,25,0,7,0,418,1196
604,46,0,25,0,7,1,418,1198
605,46,0,23,0,7,1,418,1198
606,46,0,21,0,7,1,418,1198
607,48,0,21,0,7,1,418,1200
608,48,0,22,0,7,0,418,1200
609,48,0,22,0,6,0,418,1200
610,48,0,22,0,6,0,418,1202
611,48,0,21,0,6,0,418,1202
612,47,0,21,0,6,0,418,1202
613,46,0,19,0,6,0,418,1203
614,44,0,17,0,6,0,418,1205
615,43,0,16,0,5,0,418,1205
616,42,0,15,0,5,0,418,1205
617,42,0,15,0,7,0,418,1207
618,42,0,15,0,7,1,418,1208
619,42,0,15,0,7,3,418,1210
620,44,0,14,0,7,3,418,1212
621,43,0,13,0,7,4,418,1214
622,43,0,14,0,7,3,418,1214
623,43,0,16,0,7,1,418,1214
624,44,0,15,0,7,1,418,1215
625,43,0,16,0,6,0,418,1215
626,43,0,16,0,6,0,418,1215
627,42,0,16,0,6,0,418,1215
628,42,0,16,0,7,1,418,1217
629,41,0,16,0,7,1,418,1217
630,40,0,16,0,7,1,418,1217
631,39,0,16,0,7,3,418,1219
632,39,0,17,0,7,5,418,1223
633,38,0,17,0,7,6,418,1224
634,38,0,17,0,7,7,418,1227
635,37,0,18,0,7,6,418,1227
636,38,0,22,0,7,4,418,1230
637,38,0,23,0,7,3,418,1230
638,38,0,24,0,7,2,418,1230
639,38,0,23,0,7,3,418,1232
640,39,0,25,0,7,1,418,1233
641,38,0,25,0,7,2,418,1234
642,37,0,25,0,7,3,418,1235
643,37,0,24,0,7,2,418,1235
644,38,0,23,0,7,2,418,1236
645,38,0,22,0,7,3,418,1238
646,38,0,23,0,7,2,418,1238
647,38,0,21,0,7,2,418,1239
648,38,0,21,0,7,2,418,1239
649,38,0,22,0,7,2,418,1241
650,37,0,22,0,7,1,418,1241
651,37,0,21,0,7,1,418,1242
652,36,0,21,0,7,2,418,1243
653,36,0,21,0,7,3,418,1244
654,36,0,21,0,7,2,418,1244
655,37,0,20,0,7,2,418,1245
656,37,0,21,0,7,1,418,1245
657,37,0,21,0,7,1,418,1246
